MoiMegabass,Megabass,Megabass
MoiSecretFormula,Secret Formula,Secret Formula
MoiTrungKienVang,Trứng kiến vàng,Yellow ant eggs
MoiHormone,Hormone,Hormone
quest_catch,Câu {0} con {1} ({2}),Catch {0} {1} ({2})
quest_reward,Nhận {0} vàng,Get {0} gold
quest_zone,Xuất hiện ở vùng,Appears in: {0}
quest_unknown_zone,Không xác định,Unknown
quest_complete,Đã hoàn thành nhiệm vụ!,Quest Completed!
quest_new,Bạn có nhiệm vụ mới,You have a new quest
quest_not_enough_fish,Không có cá nào thuộc loại {0} để tạo nhiệm vụ.,No fish of rarity {0} available for quest.
stats_rod,Cần,Rod
stats_bait,Mồi,Bait
stats_none,(Chưa chọn),(Not selected)
stats_current_rate,Tỉ lệ hiện tại,Current Rates
stats_rare,Hiếm,Rare
stats_legendary,Huyền thoại,Legendary
mien_bac_mota,"Nơi sông Hồng cuộn phù sa như dải lụa đào, hồ Tây gương nước lung linh in bóng liễu rủ. Những con cá rô phi lấp lánh dưới ánh chiều tà, đàn cá mè hoa quẫy đuôi khuấy động mặt nước yên bình. Từ cá kho làng Vũ Đại đến mẻ chua cá trắm đồng – mỗi dòng sông, hồ nước đều thấm đẫm hương vị quê nhà.","Where the Red River rolls with alluvium like a strip of peach silk, West Lake’s water reflects the shimmering willows. Tilapia glisten in the evening light, schools of silver carp wiggle their tails, stirring the peaceful water surface. From braised fish from Vu Dai village to sour batches of grass carp – every river and lake is imbued with the flavor of home."
mien_trung_mota,"Nơi dòng sông Hương lững lờ trôi qua những mái nhà rêu phong xứ Huế, biển Cửa Đại rì rào trong nắng sớm, hòa tiếng sóng với câu hò xứ Quảng. Cá đối, cá hanh lượn mình giữa làn nước mặn mòi, cá thu, cá nục phơi mình trên bến cá đầy nắng. Từ tô bún cá thơm nức ở Nha Trang đến nồi cá bống kho cay xứ Nghệ – mỗi làng chài, bến nước đều giữ trọn hương vị mặn mà của biển cả và tình người.","Where the Perfume River flows slowly past the moss-covered roofs of Hue, Cua Dai beach murmurs in the early morning sun, blending the sound of waves with the folk songs of Quang Nam. Mullet and hach ​​fish swim in the salty water, mackerel and scad bask on the sunny fishing wharf. From a bowl of fragrant fish noodle soup in Nha Trang to a pot of spicy braised goby fish from Nghe An – each fishing village and wharf preserves the rich flavor of the ocean and human love."
mien_nam_mota,"Miền Nam Việt Nam – vùng đất của nắng ấm, cây trái và những dòng sông hiền hòa. Nơi đây, hệ thống sông ngòi chằng chịt như mạch máu nuôi dưỡng từng thửa ruộng, từng vườn cây trái trĩu quả. Những con sông lớn uốn lượn quanh co, chia cắt đất liền thành những cù lao, bồi đắp phù sa màu mỡ cho ruộng vườn quanh năm xanh tốt.","Southern Vietnam – a land of warm sunshine, fruit trees and gentle rivers. Here, the intricate river system is like blood vessels that nourish each rice field and each fruit-laden orchard. Large rivers meander, dividing the mainland into islands, depositing fertile alluvium for the fields and gardens to grow green all year round."
ban_dang_o,Bạn đang ở:,You are at
di_toi,Đi tới,Go To
da_toi,Đã tới,Arrived
bike,Xe máy,Bike
plane,Máy bay,Plane
label_quantity,SL:,Qty:
label_rarity,PL:,R:
label_price,Giá:,Price:
label_not_sellable,Không thể bán,Not sellable
CaHoNuoc,Cá Hổ nước,Water Tiger Fish
CaHoNuoc_mota,"Quái ngư hàm răng kiếm, vảy cứng như áo giáp, sống trong hang động nước đen kịt nơi đại ngàn. Thổ dân kể rằng chúng là hiện thân của thần Sấm, mỗi lần quẫy đuôi là sông suối nổi sóng dữ. Kẻ nào bắt được cá hổ phải thả ngay con lớn nhất, bằng không cả làng sẽ bị lũ cuốn trôi.","The saber-toothed, armor-like fish monster lives in dark caves in the jungle. The natives say it is the incarnation of the Thunder God, and every time it wags its tail, it causes huge waves in the rivers and streams. Whoever catches the tiger fish must release the biggest one, or the whole village will be swept away by the flood."
CaLoc,Cá lóc,Snakehead fish
CaLoc_mota,"Chúa tể đầm lầy, sống sót qua mùa khô nhờ ẩn mình trong bùn đất. Thần thoại Khmer kể rằng giết cá lóc đen sẽ bị trừng phạt bằng hạn hán. Mỗi đêm giao thừa, người ta thả cá lóc xuống sông như nghi lễ trả ơn thủy thần.","The king of the swamps, who survives the dry season by hiding in the mud. Khmer mythology says that killing the black snakehead fish will result in drought as punishment. Every New Year's Eve, people release the snakehead fish into the river as a ritual to repay the water god."
CaThuongLuong,Thuồng luồng,Water dragon
CaThuongLuong_mota,"Thủy quái rắn mình dài trăm thước, mắt lửa đỏ rực như cục than hồng, chuyên dìm chết kẻ xâm phạm lãnh địa sông sâu. Tương truyền chúng là linh thú canh giữ kho báu của Long Vương, chỉ khuất phục trước phép thuật của đạo sĩ. Xương thuồng luồng được táng trong đình làng như vật trấn yểm, ngăn lũ quét.",The water monster is a hundred-meter-long snake with eyes as red as burning coals. It specializes in drowning intruders in its deep river territory. Legend has it that it is a sacred beast that guards the Dragon King's treasure and can only submit to the magic of Taoists. The snake's bones are buried in the village temple as a talisman to prevent flash floods.
CaTra,Cá tra,Pangasius fish
CaTra_mota,"""Vàng trắng"" sông Mekong, thân dài như chiếc thuyền nan thu nhỏ. Tương truyền chúng là hạt gạo của nữ thần lúa hóa thành để cứu đói dân làng. Vảy cá phơi khô được dùng làm bùa hộ mệnh cho những chuyến đi xa.","The Mekong River's ""white gold"" has a long body like a miniature bamboo boat. Legend has it that they are the rice grains of the rice goddess who transformed to save the villagers from starvation. Dried fish scales are used as amulets for long journeys."
CaTre,Cá trê,Catfish
CaTre_mota,"Loài ăn tạp dai sức, nuốt chửng cả nghịch cảnh lẫn xác thối. Râu dài như ăng-ten bắt tín hiệu từ cõi âm, xương cá khi đốt lên phát ra tiếng khóc ma quái. Biểu tượng cho những kẻ cùng khổ vẫn sống sót giữa bùn lầy cuộc đời.","A resilient omnivore, devouring both adversity and carrion. Its long antennae catch signals from the underworld, and its fish bones, when burned, emit a ghostly cry. A symbol of the miserable who survive in the mire of life."
CaSinh,Cá Sỉnh,Porcupine fish
CaSinh_mota,"Dưới đáy hồ sâu thẳm, cá trắm đen già như bóng ma áo đen, râu dài quét qua lớp bùn âm u. Ngư dân kể rằng những con trắm trăm tuổi nuốt cả linh hồn kẻ chết đuối, thịt chúng đen như mực vì chứa đầy tịch khí. Ai bắt được trắm đen khổng lồ phải làm lễ tạ Thủy Thần, bằng không gặp họa sóng cuồng.","At the bottom of the deep lake, the old black carp is like a ghost in black, its long whiskers sweeping across the dark mud. Fishermen say that the hundred-year-old carp swallow the souls of drowned people, their flesh as black as ink because it is filled with negative energy. Whoever catches the giant black carp must perform a ceremony to thank the Water God, otherwise they will be hit by a raging wave."
CaAnhVu,Cá Anh Vũ,Striped Dogfish
CaAnhVu_mota,"Trong hang đá sông Giăng, cá anh vũ khoác bộ cánh màu ngọc bích, môi đỏ như son tiên nữ. Tương truyền chúng là hóa thân của những nhà sư tu luyện ngàn năm, chỉ ăn rêu tinh khiết nên thịt thơm tựa trầm hương. Ai ăn phải cá anh vũ chưa thành niên sẽ bị lời nguyền 'mù mịt như sương Yên Tử'.","In the Giang River cave, the parrot fish wears jade-colored wings and has lips as red as a fairy's lipstick. Legend has it that they are the incarnations of monks who have practiced for thousands of years, eating only pure moss, so their meat smells like agarwood. Anyone who eats a juvenile parrot fish will be cursed with 'as much fog as Yen Tu's mountain's mist'."
CaBong,Cá Bỗng,Bighead carp
CaBong_mota,"Cá bỗng dài như thanh kiếm bạc, đuôi chẻ đôi tựa đuôi én. Chúng sống ẩn dật dưới những ghềnh đá sâu, chỉ ra khỏi hang khi nghe tiếng chuông chùa văng vẳng. Ngư dân miền Tây Bắc tin rằng bắt được cá bỗng trắng là điềm gặp 'kho vàng sông Đà' – vì chúng giữ chìa khóa mở cửa long cung","The silver carp is as long as a silver sword, with a forked tail like a swallow's. They live in seclusion under deep rocks, only coming out of their caves when they hear the sound of temple bells. Fishermen in the Northwest believe that catching a white carp is a sign of finding the 'gold treasure of the Da River' - because they hold the key to open the dragon palace."
CaChep,Cá Chép,Common Carp
CaChep_mota,"Cá chép kính trơn tru như viên ngọc thủy sinh, da lộ ra từng thớ thịt hồng hào. Chúng là hậu duệ của những con cá chép hóa rồng bị lưu đày vì không vượt nổi Vũ Môn. Đêm trăng, nếu thấy chép kính phóng lên khỏi mặt nước, ấy là chúng đang tập luyện cho kiếp sau – kiếp làm rồng.""","The mirror carp are as smooth as an aquatic pearl, their skin revealing each piece of rosy flesh. They are descendants of the carp that transformed into dragons and were exiled because they could not pass the Dragon Gate. On a moonlit night, if you see a mirror carp jumping out of the water, it means they are practicing for their next life - the life of a dragon."""
CaChepHoaRong,Cá Chép Hóa Rồng,A carp transforming into a dragon
CaChepHoaRong_mota,"Cổ tích kể rằng chép đỏ vượt Vũ Môn sẽ hóa rồng, vảy rụng thành pháo hoa, râu dài ra như tơ trời. Nhưng ít ai biết: những con không qua ải sẽ thành 'ngạch ngư' - quỷ nước mặt chép thân rồng, chuyên kéo đắm thuyền kẻ kiêu ngạo. Mỗi mùa mưa bão, người ta thả chép đỏ xuống sông như lễ vật tế thần.","Legend has it that red carp that pass the Dragon Gate will turn into a dragon, their scales falling off will turn into fireworks, and their whiskers will grow long like silk. But few people know: those that fail will become 'ngach ngu' - a water demon with a carp's face and a dragon's body, specializing in sinking the boats of arrogant people. Every rainy and stormy season, people release red carp into the river as an offering to the gods."
CaMeHoa,Cá Mè Hoa,Silver Carp
CaMeHoa_mota,"Cá mè hoa bơi thành đàn như đám mây ngũ sắc dưới mặt nước, miệng rộng hút phù du tựa thần Lưỡng Nghi hút khí âm dương. Vảy chúng lấp lánh ánh bạc, tương truyền là những mảnh gương vỡ từ cung trăng rơi xuống. Người xưa nấu mè hoa với lá lốt để 'gọi gió' – mỗi lần cá vẫy đuôi là gió đồng lại thổi về.","Bighead carp swim in schools like colorful clouds under the water, their wide mouths sucking in plankton like the Yin and Yang God sucking in the energy of Yin and Yang. Their scales sparkle with silver, and are said to be broken pieces of mirror falling from the moon. The ancients cooked bighead carp with betel leaves to 'call the wind' - every time the fish wagged their tails, the wind from the fields would blow back."
CaRoDong,Cá Rô Đồng,Climbing Perch
CaRoDong_mota,"Mưa rào vừa tạnh, những chú cá rô đồng dùng mang phụ như đôi chân nhỏ bò lên bãi cỏ ướt sũng, mình lấm tấm bùn non. Dân gian bảo chúng là lính tiên phong của Thủy Thần, lặn lội qua đồng khô để dò đường cho mùa nước nổi. Đứa trẻ nào bắt được cá rô đầu mùa sẽ gặp may cả năm – vì loài cá bé nhỏ này mang theo phước lành của đất và nước.","The rain had just stopped, and the perch used their gills as little legs to crawl across the wet grass, their bodies covered in mud. Folklore says they are the Water God’s vanguard, wading through the dry fields to scout for the flood season. Any child who catches the first perch of the season will have good luck all year long – because this little fish carries with it the blessings of the land and water."
CaTramDen,Cá Trắm Đen,Black Carp
CaTramDen_mota,"Dưới đáy hồ sâu thẳm, cá trắm đen già như bóng ma áo đen, râu dài quét qua lớp bùn âm u. Ngư dân kể rằng những con trắm trăm tuổi nuốt cả linh hồn kẻ chết đuối, thịt chúng đen như mực vì chứa đầy tịch khí. Ai bắt được trắm đen khổng lồ phải làm lễ tạ Thủy Thần, bằng không gặp họa sóng cuồng.","At the bottom of the deep lake, the old black carp is like a ghost in black, its long whiskers sweeping across the dark mud. Fishermen say that the hundred-year-old carp swallow the souls of drowned people, their flesh as black as ink because it is filled with negative energy. Whoever catches the giant black carp must perform a ceremony to thank the Water God, otherwise they will be hit by a raging wave."
CaDoi,Cá đối,Mullet
CaDoi_mota,"Bạc trắng như ánh trăng, bơi lội giữa ranh giới nước ngọt và biển khơi. Từng đàn cá nhảy lên mặt nước là dấu hiệu bão sắp ập đến. Trẻ con thường nuôi chúng trong lọ thủy tinh để nghe tiếng thì thầm của đại dương.","Silvery white as moonlight, swimming between the boundary of fresh water and the open sea. Schools of fish jumping to the surface are a sign of an approaching storm. Children often keep them in glass jars to listen to the whispers of the ocean."
CaDuc,Cá đục,Goby
CaDuc_mota,"Thân hình trong suốt lộ rõ trái tim đỏ rực, sống nơi giao thoa giữa sự sống và cái chết. Dân gian tin chúng là linh hồn trẻ thơ hóa thành, mang theo những lời nhắn từ thế giới bên kia. Ai ăn phải cá đục vảy đỏ sẽ thấy những điều không nên thấy.","Their transparent bodies reveal their glowing red hearts, living at the intersection of life and death. Folklore believes they are the reincarnated souls of children, carrying messages from the other world. Anyone who eats the red-scaled fish will see things they shouldn’t."
CaKinh,Cá kình,pinspotted spinefoot
CaKinh_mota,"Vị thần biển cả khổng lồ, mỗi lần trồi lên là biển động sóng dữ. Xương cá dạt vào bờ biến thành đảo thiêng, nơi ngư dân dâng lễ cầu bình an. Tiếng hú của chúng vang xa hàng dặm, báo hiệu những cơn cuồng phong sắp tới.","The giant sea god, each time he emerged, the sea was in turmoil. Fish bones washed ashore and became sacred islands, where fishermen offered sacrifices for safety. His howls could be heard for miles, signaling the coming storms."
CaMu,Cá mú,Grouper
CaMu_mota,"Lão chúa rạn san hô, da xù xì in hằn dấu răng kình ngư, có thể đổi giới tính từ đực sang cái khi trưởng thành. Thịt chúng thơm ngọt như nắng biển, được phong là ""vua của các loài cá đá ngầm"". Ngư dân tin rằng xương cá mú già hóa thành san hô đen - vật bảo hộ cho thuyền đi biển.","The king of the coral reef, with rough skin marked with whale teeth, can change sex from male to female when mature. Its meat is as sweet as the sun and is called ""king of reef fish"". Fishermen believe that the bones of old groupers turn into black coral - a protection for their boats at sea."
CaOng,Cá Ông,Whale
CaOng_mota,"Vị thần độ mạng của ngư dân, thân trắng như tuyết, mắt hiền từ như Phật. Khi thuyền sắp đắm, cá ông hiện lên đội thuyền vào bờ rồi lặn mất. Xác cá ông dạt bờ được táng như vua, lăng thờ cá ông khói hương quanh năm - nơi thủy thủ đến xin bình an trước mỗi chuyến ra khơi.","The guardian deity of fishermen, white as snow, eyes as kind as Buddha. When the boat was about to sink, the whale appeared, led the boat to shore, then disappeared. The whale's body washed ashore was buried like a king, and the whale's shrine burned with incense all year round - a place where sailors came to pray for safety before each trip."
CaThu,Cá thu,Mackerel
CaThu_mota,"Chiến binh tốc độ của đại dương, thân hình thoi lao đi như tên bắn, để lại vệt nước lấp lánh dưới trời. Thần biển ban cho chúng sức mạnh rượt đuổi những con tàu ma lạc lối. Thịt cá thu đượm vị mặn mòi của gió khơi, là lời nhắn gửi từ đại dương đến bàn ăn.","The speedy warriors of the ocean, their diamond-shaped bodies darting like arrows, leaving a sparkling trail in the sky. The sea god gave them the power to chase lost ghost ships. The tuna meat, imbued with the salty taste of the offshore wind, is a message from the ocean to the dining table."
ba_noi_tro_mua,Bà Nội Trợ Mua,Housewife Buy
ba_noi_tro_mua_mota,Người phụ nữ xin mua vài con để nấu canh,The woman asked to buy some to cook soup.
cho_dat_hang,Chợ Đặt Hàng,Order Market
cho_dat_hang_mota,NPC muốn mua loại cá bạn có,NPC wants to buy the fish you have
khach_du_lich,Khách Du Lịch Mua,Tourists Buy
khach_du_lich_mota,Du khách mua cá làm quà,Tourists buy fish as gifts
nguoi_mua_ghe,Người Mua Ghé,Buyer Visit
nguoi_mua_ghe_mota,"Người bán ghé ngang, mua cá",The seller stopped by and bought the fish.
tro_gia,Trợ Giá,Subsidy
tro_gia_mota,Chính quyền hỗ trợ thu mua cá,Government support for fish purchase
ca_mang_vang,Cá Mang Vàng,Goldfish
ca_mang_vang_mota,Một con cá bạn bắt được có đồng xu trong bụng,A fish you catch has a coin in its stomach.
du_khach_tip,Du Khách Tip,Traveler Tip
du_khach_tip_mota,Một nhóm du khách cho bạn tiền vì thấy bạn câu đẹp quá,A group of tourists gave you money because they saw how beautiful your fishing was.
go_luoi_giup_dan,Gỡ Lưới Giúp Dân,Help People Remove Net
go_luoi_giup_dan_mota,"Giúp dân làng gỡ lưới cá bị rối, được thưởng",Help villagers untangle fishing nets and get rewarded
luom_ruong_go,Lượm Rương Gỗ ,Pick Up Wooden Chest
luom_ruong_go_mota,"Có một rương gỗ trôi dạt, bạn mở ra thấy có ít vàng","There is a driftwood chest, you open it and find some gold."
nhat_duoc_vi,Nhặt Được Ví,Found Wallet
nhat_duoc_vi_mota,"Có người bỏ quên ví trên bờ sông, bạn nhặt được ít tiền","Someone left his wallet on the riverbank, you picked up some money."
phat_bao_li_xi,Phát Bao Lì Xì,Giving out lucky money envelopes
phat_bao_li_xi_mota,Bác ngư dân phát lì xì vì “đẹp trai mà câu cá giỏi”,"The fisherman gave out lucky money because he was ""handsome and good at fishing"""
trung_so, Trúng Số,Win the Lottery
trung_so_mota,Bạn tham gia mini-event quay số và được tiền,You join the mini-event and get money
ca_biet_ne,Cá Biết Né,Fish Know How to Avoid
ca_biet_ne_mota,"Cá thông minh, nhảy khỏi lưới","Smart fish, jump out of the net"
ca_to_keo_dut_can,Cá to kéo đứt cần,Big fish pulls the rod off
ca_to_keo_dut_can_mota,Bè run lắc dữ dội đánh mất cá,The raft shook violently and lost the fish.
ca_vung_vay_manh,Cá vùng vẫy mạnh,Fish struggling hard
ca_vung_vay_manh_mota,Cá kéo mạnh quá tuột mất dây mất cá,The fish pulled too hard and the line slipped and the fish was lost.
ghe_may_chay_ngang,Ghe máy chạy ngang,Motorboat running across
ghe_may_chay_ngang_mota,"Ghe máy chạy qua, sóng đánh mạnh làm tuột cá khỏi lưỡi câu","The motorboat passed by, the waves hit hard and made the fish slip off the hook."
meo_hoang_trom_ca,Meo Hoang Trộm Cá,Wild Cat Steals Fish
meo_hoang_trom_ca_mota,Một con mèo hoang nhanh như chớp cắp mất con cá bạn vừa câu được,A lightning fast wild cat stole the fish you just caught.
truot_tay,Trượt Tay,Slide Hand
truot_tay_mota,Vừa kéo lên thì bạn trượt tay để rớt cá,Just pull up and you slip your hand to drop the fish
con_chim_dang_ghet,Con chim đáng ghét,The hateful bird
con_chim_dang_ghet_mota,Đang câu vô tình thấy mất món đồ ai ngờ con chim lấy,"While fishing, I accidentally lost something and a bird took it."
cua_cap_mat_moi,Cua cắp mất mồi,Crab stole the bait
cua_cap_mat_moi_mota,Con cua dưới đáy sông cắp mồi kéo đi mất,The crab at the bottom of the river grabbed the bait and dragged it away.
ech_nhay_vao_giat_moi,Ếch nhảy vào giật mồi,Frog jumps in to grab the bait
ech_nhay_vao_giat_moi_mota,"Một con ếch nhảy lên giật mồi chơi, mồi mất luôn","A frog jumped up to grab the bait, the bait was lost."
ruoi_bu_vao_moi,Ruồi bu vào mồi,Flies on the bait
ruoi_bu_vao_moi_mota,"Mồi để ngoài trời lâu quá, bị ruồi bu mất tiêu",The bait was left outside for too long and was lost to flies.
troi_set_danh,Trời sét đánh,Lightning
troi_set_danh_mota,"Đang mưa gió, sét đánh sát bên làm bạn vứt luôn mồi câu chạy trốn","It was raining and windy, lightning struck nearby, making you drop your bait and run away."
truot_chan_roi_xuong_song,Trượt chân rớt xuống sông,Slipped and fell into the river
truot_chan_roi_xuong_song_mota,Bạn rớt xuống sông mất một số mồi,You fell into the river and lost some bait.
chim_lam_roi,Chim làm rơi,Bird dropped
chim_lam_roi_mota,Món quá từ trên trời à không đó là chim,"Gift from heaven, no it's a bird"
thung_go_troi_dat,Thùng gỗ trôi dạt,Driftwood barrel
thung_go_troi_dat_mota,Trong thùng gỗ làm theo nhiều vật cần thiết,In wooden crate made of many necessary items
thuyen_la_xuat_hien,Thuyền lạ xuất hiện,Strange boat appeared
thuyen_la_xuat_hien_mota,Tinh thần tương thân tương ái bạn được mồi câu,The spirit of mutual love you are baited
tinh_than_dung_manh,Tinh Thần Dũng Mãnh,Brave Spirit
tinh_than_dung_manh_mota,Admin thấy được sự nhiệt thuyết của bạn có một ít quà,Admin sees your enthusiasm and gives you a little gift
tu_ca_mang_len,Từ Cá Mang Lên,From Fish to Plate
tu_ca_mang_len_mota,Cá bạn bắt được có mồi dính theo!,The fish you catch has bait attached!
bi_mua_ho_moi,Bị Mua Hớ Mồi,Bought the wrong bait
bi_mua_ho_moi_mota,"Bạn mua phải mồi giả, mất tiền oan","You bought fake bait, lost money"
len_con_doi_1,Lên Cơn Đói,Hunger Attack
len_con_doi_1_mota,"Bạn quá đói, mua tô bún riêu","You are so hungry, buy a bowl of vermicelli soup"
len_con_doi_2,Lên Cơn Đói,Hunger Attack
len_con_doi_2_mota,"Bạn quá đói, mua tô Hủ Tiếu","You are so hungry, buy a bowl of Hu Tieu"
len_con_doi_3,Lên Cơn Đói,Hunger Attack
len_con_doi_3_mota,"Bạn quá đói, đá bát Phở","You are so hungry, you kick the bowl of Pho"
mua_bua_cau_may,Mua Bùa Câu May,Buy Lucky Charms
mua_bua_cau_may_mota,Bạn mua bùa của ông thầy bói bên bờ ao để câu cá may mắn,You buy a talisman from the fortuneteller by the pond for good fishing luck.
nem_can_qua_manh,Ném Cần Quá Mạnh,Throwing the Rod Too Hard
nem_can_qua_manh_mota,"Bạn ném mạnh tay làm hỏng phần máy, tốn tiền sửa","You throw it hard and damage the machine, costing money to repair."
thuong_them_tien,Nhận {0} vàng,Get {0} gold
thuong_mat_tien,Mất {0} vàng,Lose {0} gold
thuong_mat_cancau,Mất {0} cần câu: {1},Lose {0} rod(s): {1}
thuong_them_cancau,Nhận {0} cần câu: {1},Gain {0} rod(s): {1}
thuong_mat_moicau,Mất {1} {0},Lose {1} {0}
thuong_them_moicau,Nhận {1} {0},Gain {1} {0}
thuong_mat_ca,Mất {1} {0},Lose {1} {0}
thuong_them_ca,Nhận {1} {0},Gain {1} {0}
thuong_ban_ca,Bán {1} {0} được {2} vàng,Sell {1} {0} for {2} gold
thuong_khong_xac_dinh,Không xác định phần thưởng hoặc hình phạt,Unknown reward or penalty
BanCaBangXe,Chở Cá Đi Bán Bằng Xe,Carrying Fish to Sell by Bicycle
BanCaBangXe_mota,"Giao cá tận chợ bằng xe, bán được","Deliver fish to market by car, sell well"
DapXeQuaKhuCho,Đạp Xe Qua Khu Chợ,Cycling Through the Market
DapXeQuaKhuCho_mota,"Vô tình vào chợ, bán được vài con cá",Accidentally went to the market and sold a few fish.
KhachTayMuaGiaCao,Khách Tây Mua Cá Tươi,Westerners Buy Fresh Fish
KhachTayMuaGiaCao_mota,Du khách nước ngoài thấy cá lạ nên mua,Foreign tourists see strange fish so buy
NguoiDiDuongMuaCa,Người Đi Đường Mua Cá,Passerby Buying Fish
NguoiDiDuongMuaCa_mota,"Người khác thấy cá ngon, trả tiền mua tại chỗ",Others found the fish delicious and paid for it on the spot.
ChoKhachDiDuLich,Chở Khách Du Lịch Tham Quan,Tourist Sightseeing Tour
ChoKhachDiDuLich_mota,Khách Tây trả tiền để bạn chở đi ngắm đê.,Westerners pay you to take them around to see the dike.
DatXeGiupNguoiLa,Dắt Xe Giúp Người Khác,Help Others Ride Their Bikes
DatXeGiupNguoiLa_mota,"Bạn giúp người ta dắt xe qua suối, được cảm ơn bằng tiền",You help people push their bikes across the stream and get thanked with money.
NguQuaDem,Ngủ qua đêm,Sleep Over
NguQuaDem_mota,Bạn ngủ bùi khi nghe hoàng cảnh của bạn chủ nhà thương cảm,You sleep soundly when hearing about your situation the landlord sympathizes
ThueChoCa,Thuê Chở Cá,Fish Transport Service
ThueChoCa_mota,"Trên đường đi có người nhờ bạn chở cá, trả công","On the way, someone asked you to carry fish and pay you."
TinhThanSatThep,Tinh thần sắt thép,Iron spirit
TinhThanSatThep_mota,Hành động của bạn đã chạm đến trái tim cá triệu người trẻ,Your actions have touched the hearts of millions of young people.
CaMacLuoiVenDuong,Cá Mắc Lưới Ven Đường,Fish Caught in Net on the Roadside
CaMacLuoiVenDuong_mota,Đạp xe thấy cá mắc lưới người bỏ quên,Cycling saw fish caught in someone's abandoned net
CaTrenTroiRoiXuong,Cá Từ Trên Trời Rơi Xuống,Fish Falling From The Sky
CaTrenTroiRoiXuong_mota,Chim làm rơi cá xuống trúng giỏ xe bạn,The bird dropped a fish on your bicycle basket.
DungXeNghi,Dừng Xe Nghỉ,Stop and Rest
DungXeNghi_mota,"Dừng nghỉ, thấy cá trôi vào gần bờ","Stop to rest, see fish drifting near the shore"
GiupNguoiChoCa,Giúp Người Khác Chở Cá,Help Others Carry Fish
GiupNguoiChoCa_mota,"Xe đường đi bạn giúp ai đó, họ tặng lại cá","Help someone on the road, they give you fish in return"
ChoRuot,Chó Rượt,Dog Chase
ChoRuot_mota,Đám trẻ chọc chó bị chó rượt bạn nhanh ý phi xuống sông mất vài con cá,The children teased the dog and got chased by the dog. One of them quickly jumped into the river and lost a few fish.
CotCaLongTay,Thùng cá bị lỏng,The fish tank is loose.
CotCaLongTay_mota,Gấp cục đá rơi thùng cá vài cá chạy trốn được,"Fold the rock and fall into the fish barrel, some fish can escape."
DuongDoc,Dóc cao,Cycling uphill
DuongDoc_mota,Đạp xe vào đường dóc cao,Stop Folding Fish Splash
ThangGapQua,Dừng Gấp Làm Văng Cá,Stop Folding Fish Splash
ThangGapQua_mota,"Bạn thắng gấp, cá bay khỏi rổ văng rơi xuống sông","You win double, the fish fly out of the basket and fall into the river"
